Γ R T Γ
0.0 0.33 0.67 1.0
0.0 -3.84 -3.25 -1.67 -2.0 -0.91 -1.37 -0.85 0.95
0.07 -3.83 -2.87 -1.72 -2.26 -1.15 -1.68 -0.99 0.99
0.14 -3.84 -2.63 -1.77 -2.46 -1.33 -1.89 -1.06 1.03
0.21 -3.84 -2.49 -1.8 -2.59 -1.46 -2.01 -1.06 1.06
0.29 -3.86 -2.45 -1.82 -2.66 -1.55 -2.06 -1.01 1.09
0.36 -3.87 -2.49 -1.83 -2.7 -1.6 -2.04 -0.92 1.12
0.43 -3.88 -2.58 -1.83 -2.7 -1.62 -1.98 -0.8 1.16
0.5 -3.9 -2.7 -1.82 -2.69 -1.6 -1.87 -0.66 1.2
0.57 -3.91 -2.85 -1.79 -2.67 -1.57 -1.75 -0.51 1.24
0.64 -3.91 -3.01 -1.76 -2.65 -1.51 -1.61 -0.36 1.3
0.71 -3.91 -3.14 -1.71 -2.66 -1.44 -1.46 -0.23 1.36
0.79 -3.9 -3.24 -1.65 -2.69 -1.36 -1.33 -0.12 1.43
0.86 -3.88 -3.29 -1.57 -2.75 -1.27 -1.23 -0.04 1.51
0.93 -3.85 -3.27 -1.49 -2.87 -1.18 -1.15 -0.01 1.61
1.0 -3.81 -3.16 -1.39 -3.06 -1.1 -1.13 -0.04 1.72
