Γ T W Γ
0.0 0.33 0.67 1.0
0.0 -2.55 -3.49 -2.51 -2.48 -1.88 -0.75 -0.78 0.24
0.07 -2.51 -3.41 -2.55 -2.57 -2.15 -0.33 -0.86 0.19
0.14 -2.44 -3.34 -2.63 -2.6 -2.31 -0.07 -0.98 0.14
0.21 -2.36 -3.27 -2.73 -2.59 -2.38 0.06 -1.13 0.09
0.29 -2.27 -3.2 -2.86 -2.54 -2.38 0.08 -1.3 0.03
0.36 -2.18 -3.13 -3.0 -2.46 -2.31 0.01 -1.47 -0.04
0.43 -2.08 -3.07 -3.15 -2.36 -2.19 -0.11 -1.64 -0.11
0.5 -1.99 -3.0 -3.29 -2.26 -2.02 -0.26 -1.79 -0.19
0.57 -1.91 -2.93 -3.43 -2.16 -1.84 -0.42 -1.9 -0.28
0.64 -1.85 -2.86 -3.56 -2.08 -1.63 -0.55 -1.97 -0.38
0.71 -1.81 -2.79 -3.67 -2.02 -1.43 -0.64 -1.98 -0.49
0.79 -1.79 -2.71 -3.75 -2.0 -1.23 -0.64 -1.92 -0.6
0.86 -1.81 -2.62 -3.79 -2.02 -1.06 -0.54 -1.79 -0.73
0.93 -1.86 -2.53 -3.8 -2.1 -0.93 -0.31 -1.55 -0.87
1.0 -1.95 -2.42 -3.75 -2.24 -0.85 0.07 -1.21 -1.03
