Γ U Z X K Γ
0.0 0.2 0.4 0.6 0.8 1.0
0.0 -2.03 -3.16 -2.2 -1.74 -0.37 -0.8 0.82 1.11
0.07 -2.35 -3.18 -2.22 -2.09 -0.6 -0.49 0.4 1.36
0.14 -2.3 -3.1 -2.42 -2.31 -0.82 -0.24 0.2 1.28
0.21 -2.03 -2.97 -2.72 -2.39 -1.04 -0.08 0.17 1.0
0.29 -1.69 -2.82 -3.04 -2.38 -1.24 -0.02 0.24 0.66
0.36 -1.42 -2.67 -3.3 -2.3 -1.41 -0.05 0.35 0.39
0.43 -1.37 -2.55 -3.43 -2.16 -1.55 -0.2 0.43 0.32
0.5 -1.52 -2.48 -3.41 -2.01 -1.64 -0.41 0.49 0.45
0.57 -1.71 -2.5 -3.33 -1.85 -1.62 -0.58 0.57 0.59
0.64 -1.75 -2.59 -3.3 -1.72 -1.48 -0.61 0.75 0.59
0.71 -1.62 -2.75 -3.31 -1.62 -1.22 -0.5 0.99 0.41
0.79 -1.45 -2.9 -3.31 -1.51 -0.91 -0.34 1.21 0.12
0.86 -1.34 -2.96 -3.27 -1.35 -0.61 -0.23 1.33 -0.19
0.93 -1.43 -2.88 -3.11 -1.12 -0.38 -0.25 1.25 -0.44
1.0 -1.82 -2.59 -2.8 -0.77 -0.28 -0.51 0.88 -0.56
