Γ U W K T Γ
0.0 0.2 0.4 0.6 0.8 1.0
0.0 -3.82 -1.79 -2.2 -1.99 -0.63 -0.18 -0.11 -0.2
0.07 -3.61 -1.49 -2.03 -1.95 -0.66 0.01 -0.45 -0.28
0.14 -3.62 -1.41 -1.97 -1.98 -0.6 0.13 -0.54 -0.43
0.21 -3.77 -1.48 -1.95 -2.09 -0.47 0.2 -0.46 -0.62
0.29 -3.98 -1.64 -1.93 -2.24 -0.29 0.25 -0.29 -0.83
0.36 -4.17 -1.82 -1.85 -2.42 -0.1 0.3 -0.13 -1.02
0.43 -4.26 -1.94 -1.65 -2.62 0.09 0.37 -0.04 -1.18
0.5 -4.25 -2.02 -1.35 -2.8 0.26 0.47 -0.07 -1.29
0.57 -4.23 -2.11 -1.05 -2.89 0.39 0.54 -0.17 -1.37
0.64 -4.31 -2.31 -0.84 -2.83 0.48 0.55 -0.3 -1.43
0.71 -4.47 -2.59 -0.73 -2.64 0.54 0.48 -0.46 -1.5
0.79 -4.65 -2.86 -0.69 -2.44 0.61 0.35 -0.63 -1.6
0.86 -4.75 -3.02 -0.65 -2.32 0.72 0.18 -0.84 -1.74
0.93 -4.71 -2.98 -0.56 -2.4 0.92 -0.01 -1.08 -1.94
1.0 -4.44 -2.65 -0.37 -2.78 1.25 -0.21 -1.36 -2.24
