Γ Z T X Γ
0.0 0.25 0.5 0.75 1.0
0.0 -2.65 -1.6 -1.71 -1.64 -1.67 0.46 -0.28 0.62
0.07 -2.14 -1.67 -1.43 -1.39 -1.27 0.01 0.13 0.3
0.14 -1.94 -1.61 -1.35 -1.27 -1.05 -0.21 0.38 0.21
0.21 -1.97 -1.46 -1.4 -1.24 -0.99 -0.28 0.49 0.28
0.29 -2.16 -1.28 -1.54 -1.27 -1.05 -0.22 0.52 0.45
0.36 -2.41 -1.09 -1.72 -1.31 -1.19 -0.1 0.5 0.63
0.43 -2.65 -0.96 -1.88 -1.33 -1.37 0.04 0.47 0.77
0.5 -2.81 -0.91 -1.98 -1.29 -1.57 0.14 0.48 0.8
0.57 -2.82 -0.98 -1.98 -1.16 -1.74 0.16 0.54 0.66
0.64 -2.72 -1.14 -1.89 -0.96 -1.88 0.14 0.63 0.43
0.71 -2.58 -1.34 -1.75 -0.71 -1.98 0.09 0.71 0.19
0.79 -2.47 -1.53 -1.58 -0.45 -2.05 0.07 0.73 0.02
0.86 -2.44 -1.68 -1.41 -0.2 -2.06 0.1 0.64 0.0
0.93 -2.58 -1.72 -1.28 0.02 -2.03 0.21 0.4 0.23
1.0 -2.92 -1.63 -1.21 0.17 -1.94 0.45 -0.03 0.79
