Γ M Z T K Γ
0.0 0.2 0.4 0.6 0.8 1.0
0.0 -3.63 -3.42 -2.83 -0.95 -0.55 0.13 -0.17 0.97
0.07 -3.94 -3.87 -2.97 -1.17 -0.93 0.16 0.34 1.06
0.14 -4.09 -3.96 -3.0 -1.09 -0.94 0.32 0.54 1.2
0.21 -4.14 -3.82 -2.98 -0.85 -0.71 0.54 0.53 1.35
0.29 -4.17 -3.59 -2.94 -0.58 -0.39 0.76 0.41 1.45
0.36 -4.24 -3.42 -2.95 -0.4 -0.1 0.91 0.27 1.45
0.43 -4.39 -3.43 -3.05 -0.44 0.03 0.92 0.22 1.3
0.5 -4.63 -3.63 -3.27 -0.7 -0.05 0.82 0.26 1.04
0.57 -4.82 -3.83 -3.55 -1.01 -0.23 0.75 0.31 0.78
0.64 -4.85 -3.87 -3.87 -1.23 -0.4 0.86 0.28 0.67
0.71 -4.72 -3.72 -4.17 -1.31 -0.52 1.13 0.16 0.7
0.79 -4.53 -3.51 -4.38 -1.3 -0.56 1.45 -0.02 0.78
0.86 -4.37 -3.37 -4.44 -1.26 -0.51 1.67 -0.19 0.78
0.93 -4.34 -3.42 -4.29 -1.24 -0.37 1.69 -0.33 0.61
1.0 -4.51 -3.78 -3.86 -1.31 -0.11 1.36 -0.38 0.16
