Γ M K Γ
0.0 0.33 0.67 1.0
0.0 -6.25 -4.12 -2.72 -1.83 -0.58 1.31 2.47 3.12
0.06 -6.18 -4.05 -2.68 -1.79 -0.57 1.35 2.51 3.18
0.13 -5.97 -3.87 -2.58 -1.68 -0.55 1.46 2.62 3.36
0.19 -5.65 -3.58 -2.43 -1.51 -0.54 1.61 2.79 3.62
0.26 -5.27 -3.27 -2.25 -1.31 -0.52 1.78 2.96 3.86
0.33 -4.92 -2.98 -2.09 -1.10 -0.51 1.95 3.13 4.05
0.39 -4.68 -2.77 -1.99 -0.96 -0.52 2.08 3.26 4.15
0.46 -4.58 -2.65 -1.97 -0.90 -0.53 2.14 3.31 4.16
0.52 -4.64 -2.66 -2.01 -0.94 -0.54 2.12 3.27 4.09
0.59 -4.84 -2.81 -2.13 -1.07 -0.55 2.01 3.15 3.92
0.66 -5.13 -3.08 -2.31 -1.28 -0.56 1.82 2.95 3.69
0.72 -5.49 -3.41 -2.53 -1.54 -0.57 1.60 2.72 3.42
0.79 -5.84 -3.75 -2.73 -1.78 -0.58 1.43 2.53 3.19
0.86 -6.11 -4.02 -2.85 -1.90 -0.57 1.34 2.44 3.09
0.93 -6.24 -4.12 -2.87 -1.91 -0.57 1.31 2.41 3.07
1.0 -6.25 -4.12 -2.72 -1.83 -0.58 1.31 2.47 3.12 
