Γ W Z U M Γ
0.0 0.2 0.4 0.6 0.8 1.0
0.0 -2.02 -2.58 -1.58 -1.67 -1.18 -0.2 0.1 0.87
0.07 -1.85 -2.73 -1.88 -1.54 -1.21 0.18 0.25 0.97
0.14 -1.55 -2.97 -2.08 -1.46 -1.3 0.4 0.2 0.97
0.21 -1.2 -3.26 -2.2 -1.45 -1.41 0.48 0.03 0.91
0.29 -0.87 -3.56 -2.26 -1.51 -1.5 0.43 -0.18 0.83
0.36 -0.64 -3.84 -2.26 -1.66 -1.52 0.27 -0.34 0.8
0.43 -0.58 -4.06 -2.23 -1.92 -1.45 0.03 -0.36 0.84
0.5 -0.68 -4.21 -2.17 -2.23 -1.26 -0.24 -0.25 0.94
0.57 -0.83 -4.32 -2.09 -2.51 -1.01 -0.39 -0.13 1.04
0.64 -0.91 -4.42 -1.97 -2.67 -0.73 -0.33 -0.09 1.05
0.71 -0.87 -4.53 -1.84 -2.68 -0.47 -0.06 -0.14 0.97
0.79 -0.75 -4.68 -1.69 -2.58 -0.28 0.27 -0.19 0.87
0.86 -0.59 -4.87 -1.52 -2.4 -0.21 0.52 -0.15 0.79
0.93 -0.4 -5.12 -1.33 -2.2 -0.29 0.55 0.07 0.8
1.0 -0.24 -5.45 -1.14 -1.99 -0.58 0.22 0.56 0.95
